Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Peak_Fre_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,4.0,nan,nan,2.0,nan
Peak_20,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
Peak_Dur_50,nan,nan,nan,4.0,nan,5.0,nan,3.0,nan,1.0,nan,9.0,3.0,1.0,nan,nan,4.0,nan,4.0,1.0,9.0,23.0,nan,nan,7.0,nan
Peak_Fre_50,nan,nan,nan,2.0,nan,3.0,nan,3.0,nan,1.0,nan,4.0,2.0,1.0,nan,nan,2.0,nan,1.0,1.0,4.0,8.0,nan,nan,2.0,nan
Peak_50,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Dur_2,3.0,4.0,nan,8.0,nan,13.0,1.0,17.0,2.0,1.0,nan,22.0,5.0,7.0,nan,nan,7.0,nan,9.0,1.0,21.0,55.0,7.0,nan,13.0,nan
Fre_2,2.0,4.0,nan,5.0,nan,7.0,1.0,9.0,2.0,1.0,nan,8.0,3.0,5.0,nan,nan,3.0,nan,3.0,1.0,5.0,9.0,4.0,nan,3.0,nan
High_2,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Dur_5,7.0,14.0,2.0,25.0,3.0,43.0,2.0,42.0,7.0,8.0,nan,50.0,20.0,29.0,nan,nan,24.0,5.0,18.0,8.0,41.0,89.0,23.0,3.0,22.0,1.0
Fre_5,3.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,5.0,nan,6.0,6.0,9.0,nan,nan,5.0,3.0,4.0,4.0,7.0,5.0,6.0,2.0,3.0,1.0
High_5,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Dur_10,20.0,26.0,6.0,37.0,8.0,70.0,8.0,59.0,22.0,32.0,nan,87.0,59.0,54.0,nan,nan,59.0,19.0,43.0,21.0,85.0,134.0,60.0,15.0,36.0,2.0
Fre_10,4.0,5.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,nan,4.0,6.0,6.0,nan,nan,9.0,3.0,4.0,2.0,7.0,5.0,9.0,6.0,3.0,2.0
High_10,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Dur_20,47.0,59.0,16.0,83.0,35.0,128.0,21.0,106.0,43.0,70.0,10.0,129.0,140.0,99.0,nan,nan,113.0,61.0,79.0,35.0,149.0,179.0,163.0,65.0,84.0,12.0
Fre_20,3.0,7.0,3.0,4.0,7.0,4.0,4.0,3.0,4.0,10.0,3.0,5.0,4.0,3.0,nan,nan,2.0,8.0,5.0,3.0,6.0,5.0,2.0,8.0,4.0,3.0
High_20,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
