Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Peak_2,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,996.0799999999998,nan,nan,nan,996.0799999999998,996.0799999999998
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_5,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,765.1999999999997,nan,nan,nan,765.1999999999997,765.1999999999997
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_10,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,602.4000000000001,nan,nan,nan,602.4000000000001,602.4000000000001
Peak_Dur_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_20,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,487.00000000000017,nan,nan,nan,487.00000000000017,487.00000000000017
Peak_Dur_50,nan,8.0,13.0,1.0,nan,8.0,1.0,nan,nan,nan,nan,1.0,8.0,nan,nan,nan,nan,17.0,2.0
Peak_Fre_50,nan,5.0,8.0,1.0,nan,2.0,1.0,nan,nan,nan,nan,1.0,4.0,nan,nan,nan,nan,7.0,2.0
Peak_50,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,nan,nan,nan,121.0,121.0
Dur_2,nan,16.0,36.0,4.0,1.0,15.0,1.0,nan,nan,nan,1.0,4.0,16.0,nan,nan,nan,nan,25.0,5.0
Fre_2,nan,6.0,12.0,3.0,1.0,4.0,1.0,nan,nan,nan,1.0,2.0,8.0,nan,nan,nan,nan,10.0,3.0
High_2,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,nan,nan,nan,74.0,74.0
Dur_5,1.0,47.0,79.0,19.0,2.0,30.0,1.0,2.0,nan,1.0,3.0,8.0,32.0,2.0,nan,nan,nan,54.0,20.0
Fre_5,1.0,11.0,8.0,7.0,2.0,2.0,1.0,1.0,nan,1.0,2.0,4.0,5.0,1.0,nan,nan,nan,10.0,6.0
High_5,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,nan,nan,nan,29.0,29.0
Dur_10,7.0,104.0,123.0,57.0,14.0,50.0,3.0,2.0,2.0,3.0,9.0,19.0,60.0,8.0,nan,nan,nan,88.0,55.0
Fre_10,3.0,9.0,6.0,12.0,9.0,5.0,2.0,1.0,2.0,3.0,5.0,5.0,11.0,5.0,nan,nan,nan,8.0,10.0
High_10,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,nan,nan,nan,14.0,14.0
Dur_20,24.0,153.0,171.0,141.0,55.0,88.0,17.0,15.0,13.0,9.0,23.0,47.0,117.0,22.0,nan,nan,nan,171.0,118.0
Fre_20,5.0,8.0,9.0,2.0,15.0,12.0,7.0,12.0,12.0,7.0,11.0,8.0,10.0,14.0,nan,nan,nan,7.0,7.0
High_20,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,nan,nan,nan,4.7,4.7
