Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,2.696986301369863,0.9695890410958905,0.6545205479452054,6.812841530054645,0.918082191780822,9.17095890410959,0.5438356164383562,0.8112021857923498,0.13835616438356163,1.917808219178082,6.240273972602739,0.7398907103825135,4.7556164383561645,1.0643835616438355,5.544383561643835,1.0619125683060109,4.5433150684931505,3.8517260273972607,2.2175068493150683,0.21035519125683064,5.144301369863014,5.654027397260275,2.7913424657534245,0.17590163934426228,0.02873972602739726,4.528383561643836,2.40441095890411,5.790081967213115,0.5208767123287671,9.68158904109589,12.400383561643837,3.6000819672131152,1.5272328767123289,6.869424657534247,0.5555342465753424,0.3435792349726776,0.46717808219178086,0.1572054794520548,0.266,0.7986885245901639,4.526301369863013,0.38054794520547947,5.39254794520548,4.966693989071038,6.150575342465753,9.85964383561644,4.117972602739726,3.685273224043715,0.6254246575342467,1.8482739726027395,2.9825205479452057,2.0728415300546446,3.475150684931507,7.29586301369863,0.6728219178082191,1.3654371584699454,0.8274520547945206,1.9695342465753425,3.7226301369863015,1.3703005464480873,1.6834520547945206,0.23282191780821915,0.6401643835616438,2.337568306010929
Std,6.212481181015351,3.938010219469602,1.7310579875980747,23.35148218724044,2.9030643505409066,24.61579469356152,1.6313022196644476,4.693316976063882,0.3362281258297507,8.13799043663617,28.855060474610553,3.897462252532243,15.256168838660065,2.5547575743775317,17.68756090933325,3.5124752925651004,11.338890609014516,16.14713269534574,5.596892491822724,0.6283947234692377,12.570123324865467,11.966550272484836,7.155689994240674,0.28087904782220635,0.15171007203244394,9.965032280230263,8.01894725409698,16.38192822587295,1.551526088719823,27.89712436097912,25.123100418686402,8.815440703789264,6.727489243477904,27.526408350078697,3.0342434776569736,1.2169780399550143,1.4891545762104001,0.6193986248033909,1.6988646974594452,2.9185147480657103,14.210789814153642,1.1685840752175012,13.625748020729489,12.038762179227424,20.31035114857865,24.518376259322206,11.729040239114036,14.264335663460956,1.4093739591223757,3.9909320546289733,11.727257335188915,7.862114811089706,5.807428666545984,17.89783570394321,1.8624651460742903,4.339602132317658,2.915298772447305,3.800557428769511,8.292332301601743,4.77569279926489,6.635207969283741,1.0082470797211294,2.734488001530139,7.10981253274647
CV,2.303490076260263,4.061525092134514,2.644772563722467,3.4275686707559654,3.162096353170489,2.684102605947886,2.9996237288540217,5.785631570358305,2.4301636817397827,4.243380727674574,4.624005388432565,5.267618849434274,3.2080318159413084,2.400222688926124,3.190176277070038,3.3076878430474626,2.4957306367870293,4.192181006772409,2.5239572511586434,2.987303140534368,2.443504456893861,2.1164648544652205,2.5635299437574557,1.596796078019999,5.278758464427267,2.200571604542457,3.3350984466282263,2.829308517329662,2.978682002854699,2.88146132236794,2.025993816545784,2.4486777756933815,4.405018609840404,4.007090800521159,5.461847755312894,3.542059344918769,3.1875523124372274,3.9400574774004475,6.386709388945283,3.6541338183909757,3.1396031003971188,3.0707932862086964,2.526773643773377,2.4238985139245783,3.3021871967568277,2.486740562651296,2.8482560159119554,3.8706317812195277,2.2534672116684207,2.1592751474008707,3.9319954872627303,3.7929164854596693,1.6711300294768212,2.453148540527479,2.768139825381204,3.1781778497814166,3.523223799560514,1.929673188155007,2.227546652892811,3.4851425927281516,3.9414297249431454,4.330550530692072,4.2715403601750435,3.041542150646026
SP_Tim,212.0,212.0,206.0,149.0,233.0,188.0,184.0,185.0,207.0,160.0,204.0,116.0,201.0,195.0,206.0,171.0,190.0,158.0,180.0,198.0,173.0,186.0,193.0,198.0,nan,201.0,182.0,160.0,179.0,196.0,178.0,172.0,181.0,167.0,175.0,124.0,179.0,243.0,180.0,171.0,203.0,146.0,229.0,167.0,121.0,189.0,196.0,163.0,205.0,177.0,218.0,152.0,255.0,189.0,153.0,150.0,157.0,197.0,180.0,199.0,89.0,210.0,134.0,168.0
SP_Mag,8.0,3.8,1.2,27.0,30.0,142.0,1.9,5.5,0.9,19.0,23.0,42.0,20.0,2.0,41.0,11.0,10.0,26.0,35.0,0.85,18.0,144.0,27.0,0.47,nan,13.0,18.0,38.0,14.0,87.0,95.0,7.1,11.0,100.0,3.3,1.5,19.0,1.5,25.0,5.3,7.0,15.0,11.0,72.0,159.0,23.0,21.0,27.0,2.3,20.0,22.7,64.8,2.14,50.3,19.8,23.5,34.6,24.9,49.6,60.4,27.7,1.31,17.9,73.5
SP_Dur,130.0,76.0,63.0,115.0,17.0,52.0,56.0,71.0,71.0,54.0,48.0,117.0,37.0,59.0,38.0,93.0,72.0,64.0,82.0,51.0,62.0,72.0,62.0,93.0,nan,42.0,67.0,20.0,86.0,59.0,86.0,82.0,59.0,40.0,46.0,151.0,83.0,6.0,37.0,45.0,27.0,116.0,44.0,123.0,37.0,64.0,57.0,48.0,47.0,92.0,39.0,19.0,39.0,79.0,34.0,77.0,104.0,95.0,129.0,72.0,83.0,40.0,120.0,65.0
SP_ROC,0.18823529411764706,0.25000000000000006,0.33333333333333326,0.09090909090909086,0.11011904761904762,0.07692307692307693,0.29166666666666663,0.33333333333333326,0.5,0.07142857142857134,0.08333333333333323,0.1547619047619047,0.09999999999999998,0.19999999999999996,0.06451612903225812,0.10000000000000009,0.06350806451612909,0.04444444444444448,0.06410256410256415,0.21111111111111108,0.04761904761904766,0.060661764705882346,0.05882352941176463,0.2916666666666667,nan,0.06524822695035462,0.06742424242424253,0.06458333333333333,0.09090909090909087,0.04761904761904766,0.05926251097453908,0.06458333333333338,0.05971479500891258,0.06060606060606053,0.06451612903225812,0.11769230769230768,0.0946348733233979,0.5454545454545454,0.15384615384615388,0.06363636363636363,0.08333333333333323,0.11111111111111113,0.06250000000000006,0.07019704433497528,0.06980519480519488,0.04379795396419428,0.050000000000000044,0.052631578947368356,0.08928571428571436,0.058823529411764754,0.05194805194805199,0.08743937389770721,0.06382978723404249,0.043111455108359134,0.046511627906976785,0.03225806451612906,0.07272727272727278,0.05660377358490571,0.05723352142789482,0.0594117647058824,0.03155929038281968,0.20000000000000004,0.08248299319727888,0.06363636363636369
DS_Tim,342.0,288.0,269.0,264.0,250.0,240.0,240.0,256.0,278.0,214.0,252.0,233.0,238.0,254.0,244.0,264.0,262.0,222.0,262.0,249.0,235.0,258.0,255.0,291.0,nan,243.0,249.0,180.0,265.0,255.0,264.0,254.0,240.0,207.0,221.0,275.0,262.0,249.0,217.0,216.0,230.0,262.0,273.0,290.0,158.0,253.0,253.0,211.0,252.0,269.0,257.0,171.0,294.0,268.0,187.0,227.0,261.0,292.0,309.0,271.0,172.0,250.0,254.0,233.0
DS_Mag_90,0.2,0.0,0.0,0.4,0.8,1.4,0.1,0.0,0.0,nan,1.0,0.2,0.9,0.6,1.5,0.25,0.4039999999999998,0.5680000000000001,0.24599999999999994,0.8030000000000002,0.504,0.7279999999999998,nan,nan,nan,0.8,0.53,2.4900000000000033,0.40399999999999947,1.5,0.9420000000000004,0.40500000000000014,0.5280000000000001,1.4,0.15,0.01,0.05,0.01,0.05,0.2680000000000001,0.995,0.38400000000000034,0.6300000000000001,0.415,2.1300000000000012,1.5,0.66,1.1,0.04000000000000001,0.23,0.5380000000000001,1.577000000000001,0.29,0.8859999999999999,0.5479999999999998,0.32,0.34,0.255,0.35,0.23599999999999993,0.5,0.02,0.023000000000000114,0.4099999999999999
DS_Mag_50,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,nan,0.3,0.0,0.2,0.0,0.31,0.0,0.09,0.08,0.02,0.0,0.21,0.28,nan,nan,nan,0.13,0.14,0.18,0.0,0.39,0.38,0.11,0.06,0.27,0.01,0.0,0.01,0.0,0.0,0.01,0.14500000000000002,0.01,0.16,0.19,0.37,0.47,0.23,0.3,0.02,0.03,0.12,0.24,0.17,0.38,0.04,0.03,0.03,0.09,0.22,0.04,0.02,0.01,0.0,0.02
DS_Dur_WS,125.0,110.0,167.0,121.0,227.0,246.0,219.0,144.0,206.0,nan,213.0,205.0,200.0,213.0,216.0,202.0,195.0,193.0,123.0,208.0,147.0,225.0,nan,nan,nan,214.0,193.0,292.0,175.0,185.0,137.0,134.0,243.0,236.0,195.0,158.0,189.0,248.0,272.0,233.0,186.0,194.0,193.0,136.0,298.0,205.0,221.0,264.0,163.0,161.0,187.0,278.0,145.0,155.0,265.0,265.0,201.0,136.0,198.0,145.0,311.0,169.0,198.0,219.0
DS_No_Flow,70.0,110.0,167.0,4.0,139.0,16.0,196.0,144.0,200.0,nan,10.0,142.0,8.0,148.0,0.0,118.0,67.0,20.0,34.0,140.0,6.0,0.0,nan,nan,nan,26.0,12.0,12.0,95.0,0.0,0.0,0.0,3.0,0.0,41.0,115.0,73.0,173.0,159.0,94.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,110.0,60.0
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.0,12.0,36.0,40.0,54.0,46.0,60.0,75.0,14.0,nan,nan,34.0,nan,63.0,9.0,nan,52.0,50.0,18.0,64.0,43.0,25.0,nan,15.0,54.0,nan,47.0,53.0,55.0,nan,25.0,69.0,nan,37.0,72.0,47.0,45.0,38.0,38.0,28.0,nan,38.0,67.0,18.0,61.0,nan,67.0,75.0,12.0,23.0,nan,nan,nan,nan,nan
