agency_cd,site_id,station_nm,site_tp_cd,lat,lon,coord_acy_cd,datum,elev_m,alt_acy_va,alt_datum_cd,huc8,interval,parm_cd,stat_cd,ts_id,date_begin,date_end,count_nu,total_yrs,total_post1980,comid,geometry
USGS,09423350,CARUTHERS C NR IVANPAH CA,ST,35.24498915,-115.2988759,F,NAD83, 5640, 20,NGVD29,15030102,dv,00060,00003,7194,1963-10-01,2020-11-17,20656,57,40,10017314,"c(-115.2988759, 35.24498915)"
USGS,09424150,"COLORADO RIVER AQUEDUCT NEAR PARKER DAM, AZ-CA",ST,34.31612564,-114.1571702,T,NAD83, 452,4.3,NAVD88,15030101,dv,00060,00003,217314,1981-10-01,2020-10-31,14276,39,40,21439475,"c(-114.1571702, 34.31612564)"
USGS,09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,34.29557035,-114.140225,T,NAD83, 300.54, 20,NGVD29,15030104,dv,00060,00003,5403,1934-11-16,2020-11-17,31372,86,40,9998136,"c(-114.140225, 34.29557035)"
USGS,09429010,"COLORADO RIVER AT PALO VERDE DAM, CA-AZ",ST,33.7319659,-114.5118999,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5416,1969-04-01,1991-07-09,7776,22,11,10010638,"c(-114.5118999, 33.7319659)"
USGS,09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,33.71946626,-114.4980105,T,NAD83, 260.,4.3,NAVD88,15030104,dv,00060,00003,5420,1956-03-24,2020-11-17,16514,64,40,10010646,"c(-114.4980105, 33.71946626)"
USGS,09429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",ST,33.53502644,-114.5605103,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5423,1979-10-01,2020-10-31,14642,41,40,945030171,"c(-114.5605103, 33.53502644)"
USGS,09429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",ST,33.50919375,-114.5774549,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5424,1979-10-01,2020-10-31,14642,41,40,10010658,"c(-114.5774549, 33.50919375)"
USGS,09429180,"PVID D23 SPILL NEAR BLYTHE, CA",ST,33.4916942,-114.6035666,T,NAD83, 230, 20,NAVD88,15030104,dv,00060,00003,5425,1968-01-01,2020-11-17,18950,52,40,10003808,"c(-114.6035666, 33.4916942)"
USGS,09429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",ST,33.43391809,-114.6294005,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5426,1979-10-01,2020-10-31,14642,41,40,10003830,"c(-114.6294005, 33.43391809)"
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5428,1979-10-01,2017-05-31,13393,38,37,10010624,"c(-114.72357, 33.39697468)"
