Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Peak_Fre_50,3.0,nan,1.0,nan,nan,2.0,nan,2.0,nan,2.0,nan,2.0,2.0,nan,nan,1.0,1.0,2.0,nan,nan,2.0,nan,2.0
Peak_50,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
Dur_2,22.0,2.0,2.0,nan,4.0,9.0,nan,16.0,nan,17.0,nan,22.0,11.0,3.0,1.0,12.0,9.0,7.0,nan,nan,12.0,6.0,14.0
Fre_2,6.0,2.0,1.0,nan,3.0,5.0,nan,4.0,nan,7.0,nan,7.0,5.0,3.0,1.0,5.0,5.0,4.0,nan,nan,6.0,4.0,2.0
High_2,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985,385.65999999999985
Dur_5,51.0,4.0,4.0,nan,11.0,22.0,1.0,37.0,3.0,55.0,2.0,47.0,27.0,6.0,4.0,26.0,32.0,19.0,nan,nan,33.0,13.0,26.0
Fre_5,5.0,1.0,2.0,nan,4.0,7.0,1.0,4.0,3.0,8.0,1.0,6.0,6.0,3.0,3.0,7.0,7.0,6.0,nan,nan,8.0,7.0,4.0
High_5,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
Dur_10,67.0,8.0,5.0,nan,19.0,46.0,2.0,63.0,7.0,84.0,14.0,92.0,51.0,33.0,10.0,66.0,66.0,62.0,nan,nan,62.0,40.0,46.0
Fre_10,6.0,3.0,2.0,nan,3.0,7.0,1.0,4.0,4.0,5.0,6.0,3.0,6.0,9.0,3.0,7.0,10.0,6.0,nan,nan,7.0,6.0,5.0
High_10,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0
Dur_20,115.0,21.0,25.0,2.0,52.0,91.0,17.0,126.0,40.0,123.0,53.0,124.0,97.0,92.0,37.0,112.0,152.0,105.0,nan,nan,127.0,74.0,99.0
Fre_20,4.0,3.0,8.0,2.0,2.0,4.0,4.0,6.0,7.0,4.0,8.0,3.0,4.0,6.0,4.0,2.0,9.0,4.0,nan,nan,6.0,6.0,6.0
High_20,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364,44.600000000000364
