Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,nan,nan,2.3489375384817834,nan,nan,nan,nan,nan,nan,15.930693737339269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.61376201412607,nan,nan,15.979571528452192,3.4021560399608184,nan,nan,nan,nan,nan,nan,29.49830842944273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,70.0,nan,nan,nan,nan,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.0,nan,nan,52.0,57.0,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,3.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,4.0,20.0,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,1.2,0.0,0.9600000000000002,0.2,0.3,21.8,0.8,0.38000000000000006,nan,6.700000000000001,0.0,0.0,0.2,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,24.0,3.3,4.08,43.9,1.7700000000000002,1.4800000000000002,1.4,nan,0.62,0.24,27.96,0.843,0.0,0.77,0.76,0.13,0.04,0.253,0.15,0.0,nan,0.07100000000000001
Wet_BFL_Mag_50,2.7,7.9,3.0,0.2,1.4,84.0,3.2,1.8,nan,19.0,0.9,0.5,6.8,11.5,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.6,75.0,7.0,13.0,97.0,3.6,5.8,7.5,nan,10.3,0.4,117.0,2.815,0.195,6.99,1.22,9.83,0.08,0.89,0.29,0.02,nan,1.22
Wet_Tim,39.0,100.0,85.0,105.0,95.0,153.0,122.0,94.0,nan,107.0,118.0,98.0,176.0,40.0,53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108.0,91.0,103.0,83.0,118.0,33.0,129.0,120.0,nan,129.0,130.0,85.0,167.0,47.0,90.0,70.0,100.0,69.0,28.0,99.0,133.0,nan,85.0
Wet_BFL_Dur,192.0,79.0,70.0,17.0,141.0,35.0,20.0,119.0,nan,67.0,93.0,90.0,19.0,54.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.0,86.0,101.0,39.0,110.0,218.0,35.0,45.0,nan,41.0,23.0,64.0,24.0,160.0,61.0,73.0,33.0,17.0,184.0,65.0,22.0,nan,82.0
Peak_2,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,nan,125.0,125.0,125.0,125.0,125.0,125.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Peak_5,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,nan,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005,1034.4000000000005
Peak_10,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,nan,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002,2283.000000000002
