Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,8.19906696852744,45.00117045125903,14.01300847795553,8.693825606182637,nan,19.988615129128583,19.988678635182417,12.989569901581673,nan,2.3318403304701243,8.002492678866744,nan,19.977888077159157,9.00275000072813,nan,41.98749587193968,25.997008454772285,16.010622174064203,14.998294249331797,19.98418311618959,8.170027329061874,49.9926347985165,9.892975754701801,17.009319900646883,nan,2.153582850329815,60.99008873075136,19.00577410617246,14.011909199692319,43.99516455119067,25.031146252192865,45.003259557739334,25.997959569582246,5.9448063983902095,16.00775980821474,8.899814713850349,5.817992564207597,10.997502124699253,nan,nan,19.999557529876824,11.989545086299222,13.985677662548174,50.99559215447058,351.9000358853519,10.993049329966002,19.999117697214576,27.996301634215193,21.000616515640303,10.969584675929308,40.89749349343294,39.00078381236209,16.997488011616547,25.999729385062853,10.913126144295594,23.723398005731816,5.71594513906247,30.16690564536359,138.97169898981477,15.390489029161367,15.218772974177202,nan,6.467849285047569,nan
FA_Tim,2.0,45.0,41.0,7.0,nan,30.0,9.0,38.0,nan,5.0,51.0,nan,10.0,29.0,nan,46.0,60.0,33.0,15.0,37.0,42.0,10.0,7.0,28.0,nan,0.0,52.0,51.0,19.0,64.0,27.0,25.0,0.0,2.0,20.0,66.0,28.0,44.0,nan,nan,25.0,29.0,41.0,36.0,72.0,29.0,46.0,60.0,38.0,10.0,42.0,38.0,39.0,19.0,38.0,44.0,10.0,32.0,12.0,24.0,4.0,nan,51.0,nan
FA_Dur,6.0,8.0,2.0,3.0,nan,2.0,2.0,2.0,nan,2.0,3.0,nan,3.0,3.0,nan,4.0,5.0,2.0,2.0,8.0,2.0,5.0,3.0,10.0,nan,7.0,4.0,5.0,2.0,6.0,7.0,5.0,5.0,7.0,2.0,8.0,2.0,5.0,nan,nan,7.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,5.0,7.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,7.0,3.0,3.0,5.0,nan,8.0,nan
Wet_BFL_Mag_10,24.0,19.0,6.82,8.9,17.300000000000004,9.5,69.0,5.200000000000001,6.0,2.75,3.4,5.9,5.0,16.0,4.7,7.460000000000001,12.0,7.869999999999999,20.400000000000002,12.0,4.94,13.200000000000001,32.0,20.0,2.6,1.6,25.8,7.869999999999999,27.0,8.66,54.7,54.0,36.8,8.32,30.600000000000005,5.880000000000001,3.2,2.9,5.940000000000001,2.18,4.2,7.58,4.0,29.0,90.80000000000001,32.0,41.0,54.2,21.0,9.7,20.450000000000003,9.7,10.95,4.550000000000001,27.76,6.390000000000001,4.268000000000002,6.19,24.680000000000003,12.6,6.599,3.0380000000000003,0.899,4.9559999999999995
Wet_BFL_Mag_50,134.0,44.5,27.0,23.0,194.5,18.0,253.0,12.0,21.0,5.6,65.0,22.5,7.3,46.5,18.5,54.5,34.0,323.0,89.0,29.0,7.6,95.0,68.0,51.0,4.2,2.3499999999999996,90.0,38.0,59.5,22.0,125.5,190.0,110.0,22.5,175.5,11.0,5.9,11.0,12.0,38.0,56.5,73.0,8.4,117.5,161.5,133.5,381.0,92.0,168.0,24.0,33.599999999999994,23.0,30.5,60.85,146.0,16.8,34.3,107.0,64.5,44.3,47.7,21.6,3.5599999999999996,12.1
Wet_Tim,56.0,56.0,91.0,36.0,69.0,123.0,111.0,84.0,95.0,26.0,107.0,4.0,30.0,73.0,34.0,56.0,96.0,97.0,76.0,50.0,54.0,31.0,39.0,74.0,4.0,33.0,72.0,95.0,77.0,108.0,76.0,44.0,37.0,30.0,118.0,110.0,50.0,73.0,11.0,145.0,120.0,85.0,65.0,89.0,103.0,62.0,90.0,103.0,103.0,96.0,50.0,64.0,62.0,58.0,74.0,110.0,88.0,125.0,99.0,73.0,148.0,44.0,118.0,52.0
Wet_BFL_Dur,114.0,158.0,84.0,175.0,80.0,111.0,77.0,59.0,41.0,216.0,53.0,200.0,87.0,128.0,96.0,148.0,91.0,58.0,83.0,149.0,145.0,143.0,147.0,105.0,255.0,194.0,129.0,88.0,84.0,68.0,120.0,171.0,53.0,152.0,52.0,57.0,174.0,107.0,233.0,33.0,52.0,95.0,81.0,88.0,64.0,58.0,57.0,93.0,61.0,111.0,128.0,149.0,90.0,124.0,123.0,43.0,63.0,33.0,99.0,105.0,52.0,44.0,70.0,83.0
Peak_2,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0
Peak_5,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007,1882.0000000000007
Peak_10,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0
