Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,9.981736424127744,13.988425038136482,nan,20.96666606962341,nan,12.979423378169658,15.998196554848398,10.930108057841084,34.96336697568863,38.99208137436012,30.957927998838844,10.00720742626872,22.967059131412157,nan,nan,11.962344599278788,6.491790295591672,4.93735294390033,nan,28.951751791699323,8.018137353566313,nan,192.88040131648924,nan,34.97630517208387,21.019686550024264,9.197221046736352,21.811420973895675,6.693628014868887,24.994484395879336,nan,18.95608428919429,5.306103562520638,7.997004742585014,6.508799284883839,261.90670585843975,170.95362388359817,nan,20.07871246114339,17.990087218671725,nan,16.56578160450477,17.37358393154844,9.882730681876172,nan,67.1996936501807,16.389608597024804,nan,5.371249811853454,19.30364031329624,194.91750743560627,21.95593249152232,nan,nan,nan
FA_Tim,36.0,20.0,nan,36.0,nan,48.0,46.0,2.0,33.0,15.0,35.0,42.0,34.0,nan,nan,10.0,1.0,51.0,nan,18.0,64.0,nan,25.0,nan,33.0,62.0,0.0,70.0,43.0,22.0,nan,25.0,29.0,15.0,36.0,72.0,48.0,nan,60.0,27.0,nan,52.0,38.0,66.0,nan,62.0,44.0,nan,32.0,12.0,23.0,10.0,nan,nan,nan
FA_Dur,4.0,3.0,nan,3.0,nan,3.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,nan,nan,2.0,3.0,4.0,nan,3.0,8.0,nan,7.0,nan,2.0,5.0,1.0,3.0,2.0,8.0,nan,5.0,7.0,5.0,2.0,2.0,2.0,nan,3.0,4.0,nan,4.0,5.0,2.0,nan,2.0,2.0,nan,5.0,2.0,4.0,3.0,nan,nan,nan
Wet_BFL_Mag_10,14.4,19.400000000000002,8.5,20.0,18.0,7.880000000000001,15.9,29.0,34.0,17.0,41.400000000000006,35.0,30.000000000000004,16.0,42.1,6.7,10.47,38.6,29.400000000000002,19.0,18.8,20.0,40.6,21.0,17.0,36.30000000000001,14.0,12.0,20.0,20.400000000000002,9.8,16.0,29.00000000000001,20.0,38.0,29.0,21.6,25.0,32.0,38.7,6.140000000000001,22.220000000000002,23.9,24.14,40.96,24.82,14.55,23.290000000000003,35.760000000000005,21.98,58.739999999999995,26.1,10.179,13.860000000000001,6.452000000000001
Wet_BFL_Mag_50,57.0,103.0,25.0,65.0,28.0,75.0,30.0,62.0,181.0,40.5,96.0,66.0,90.0,38.0,204.0,11.5,26.0,82.0,66.0,44.0,59.0,61.0,284.0,46.0,81.5,95.0,59.0,30.0,86.0,65.0,35.0,23.0,104.5,37.0,105.0,60.5,46.0,92.0,119.0,92.0,29.0,83.6,39.7,77.4,100.2,47.4,40.15,72.45,104.15,65.15,100.9,44.4,17.65,30.6,16.8
Wet_Tim,167.0,173.0,6.0,176.0,66.0,153.0,156.0,134.0,170.0,69.0,177.0,147.0,183.0,32.0,214.0,10.0,179.0,164.0,182.0,92.0,172.0,39.0,212.0,25.0,163.0,122.0,163.0,141.0,141.0,164.0,150.0,138.0,153.0,162.0,153.0,118.0,61.0,162.0,190.0,172.0,148.0,167.0,159.0,155.0,194.0,73.0,133.0,182.0,180.0,191.0,177.0,163.0,48.0,126.0,47.0
Wet_BFL_Dur,85.0,83.0,255.0,62.0,185.0,72.0,110.0,110.0,92.0,172.0,85.0,97.0,49.0,253.0,38.0,220.0,68.0,89.0,55.0,173.0,69.0,226.0,45.0,214.0,90.0,124.0,63.0,93.0,81.0,49.0,99.0,77.0,108.0,79.0,119.0,114.0,167.0,105.0,71.0,68.0,83.0,79.0,86.0,89.0,48.0,177.0,94.0,52.0,54.0,64.0,92.0,67.0,180.0,114.0,193.0
Peak_2,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0
Peak_5,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002,561.2000000000002
Peak_10,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002,980.0000000000002
Peak_Dur_2,nan,nan,2.0,nan,5.0,nan,13.0,nan,33.0,8.0,1.0,nan,2.0,3.0,8.0,nan,nan,nan,nan,3.0,nan,11.0,35.0,1.0,nan,6.0,nan,nan,nan,nan,nan,nan,4.0,nan,15.0,5.0,5.0,3.0,3.0,1.0,nan,nan,nan,nan,6.0,6.0,nan,nan,3.0,7.0,23.0,1.0,1.0,nan,nan
Peak_Dur_5,nan,nan,2.0,nan,3.0,nan,1.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,2.0,nan,3.0,nan,2.0,3.0,1.0,nan,1.0,2.0,1.0,nan,nan,nan,nan,1.0,nan,4.0,3.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,5.0,2.0,2.0,2.0,1.0,1.0,nan,nan,nan,nan,4.0,3.0,nan,nan,2.0,1.0,2.0,1.0,1.0,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,1.0,nan,1.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
