Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
FA_Mag,nan,9.60620601833928,nan,4.134440752403206,nan,1.9827334374601158,1.0592770850223114,nan,nan,nan,nan,108.98544595898684,1.6559098845860676,2.2025735901478374,2.0827976594694424,nan,45.9948993218473,nan,nan,19.944283978391102,nan,nan,6.400404278861527,11.940246752797721,1.9738625054322712,nan,nan,nan,5.98060389441228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,403.902820149294
FA_Tim,nan,66.0,nan,45.0,nan,47.0,54.0,nan,nan,nan,nan,62.0,57.0,18.0,61.0,nan,37.0,nan,nan,36.0,nan,nan,47.0,48.0,7.0,nan,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0
FA_Dur,nan,5.0,nan,16.0,nan,9.0,18.0,nan,nan,nan,nan,20.0,4.0,5.0,20.0,nan,4.0,nan,nan,1.0,nan,nan,14.0,17.0,7.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0
Wet_BFL_Mag_10,0.75,15.0,2.8,11.0,3.9,3.3800000000000017,2.5300000000000002,5.68,4.22,0.0,2.3,5.460000000000001,1.9600000000000002,2.7,4.800000000000001,0.0,7.3,4.75,6.680000000000002,5.0,1.1,1.8000000000000003,17.599999999999998,10.0,4.840000000000001,0.9,4.72,nan,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.188,1.673,44.900000000000006
Wet_BFL_Mag_50,1.3,42.0,7.2,21.0,14.0,8.6,10.0,43.5,19.0,3.2,3.1,10.5,4.0,3.8,17.0,30.0,25.0,15.0,70.0,11.0,15.0,3.75,40.5,19.0,19.0,2.7,11.0,nan,44.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.95,2.95,124.0
Wet_Tim,93.0,85.0,29.0,101.0,36.0,104.0,91.0,67.0,120.0,56.0,27.0,115.0,75.0,32.0,178.0,38.0,52.0,38.0,102.0,109.0,36.0,72.0,120.0,93.0,120.0,119.0,172.0,nan,92.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,78.0,84.0
Wet_BFL_Dur,126.0,106.0,146.0,91.0,189.0,123.0,64.0,138.0,37.0,79.0,99.0,24.0,139.0,166.0,33.0,57.0,173.0,106.0,52.0,60.0,80.0,18.0,92.0,91.0,99.0,20.0,65.0,nan,108.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0,88.0,64.0
Peak_2,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,nan,256.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.5,256.5,256.5
Peak_5,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,nan,549.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,549.0,549.0,549.0
Peak_10,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,1663.000000000001,nan,1663.000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1663.000000000001,1663.000000000001,1663.000000000001
Peak_Dur_2,nan,1.0,nan,1.0,nan,2.0,1.0,4.0,nan,nan,nan,5.0,nan,nan,nan,8.0,2.0,1.0,13.0,nan,1.0,2.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,18.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,6.0,1.0,nan,5.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,8.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0
Peak_Fre_2,nan,1.0,nan,1.0,nan,1.0,1.0,4.0,nan,nan,nan,1.0,nan,nan,nan,3.0,1.0,1.0,3.0,nan,1.0,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,5.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,1.0,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
